=== Schema ===\n,Category,Field,Sub Fields,Unnamed: 3,Data Type,Mandatory Fields,Data Extraction Required?,Possible Source,Aliases (Data Extraction)
0,Broker Details,Broker Network (Company),,,str,No,Yes,Email/Quote Slip,
1,,Broker Name,,,str,No,Yes,Email/Quote Slip,
2,,Broker Location (Branch),Street Address ,,str,No,Yes,Email/Quote Slip,Location
3,,,Post Code,,str,No,Yes,Email/Quote Slip,
4,,,City/Suburb,,int,No,Yes,Email/Quote Slip,
5,,,State,,str,No,Yes,Email/Quote Slip,
6,,,Country,,str,No,Yes,Email/Quote Slip,
7,,Broker Email,,,str,No,Yes,Email/Quote Slip,Email
8,,Broker Contact (Mobile),,,str,No,Yes,Email/Quote Slip,"Mobile, Phone"
9,,Broker Commission,,,str,Yes,No,Email/Quote Slip,
10,,Quotation Required by Date,,,Date,No,Yes,Email/Quote Slip,Quote Due by
11,Insured Details,Insured,,,str,No,Yes,Email/Quote Slip,
12,,ABN,,,Int,No,Yes,Email/Quote Slip,
13,,Business Description,,,str,Yes,Yes,Email/Quote Slip,"Business Description, Business, Occupancy"
14,,Current Insurer,,,str,No,Yes,Email/Quote Slip,
15,,Gross Revenue/Annual Turnover,,,int,No,Yes(if applicable),Email/Quote Slip,"Turnover, Annual Turnover"
16,,Interested Parties,,,str,No,Yes,Email/Quote Slip,
17,Policy Info,Period of Insurance,From,,date,Yes,Yes,Email/Quote Slip,
18,,,To,,date,Yes,Yes,Email/Quote Slip,
19,,,Time Zone,,str,No,Yes,Email/Quote Slip,
20,,Product Type,,,str,Yes,Yes,Email/Quote Slip,"ISR, Industrial Special Risk"
21,,Fire/Crime Split,,,Yes/No,No,Yes (if applicable),Email/Quote Slip,
22,,Fire,,,float,No,Yes (if applicable),Email/Quote Slip,
23,,Crime,,,float,No,Yes (if applicable),Email/Quote Slip,
24,Policy Coverage ,Declared Values,Section 1 – Material Loss or Damage (PD),Total,int,Yes(if applicable),Yes,Email/Quote Slip/Asset Schedule,Sum insured
25,,,Section 2 – Consequential Loss (Business Interruption),Total,int,Yes(if applicable),Yes,Email/Quote Slip/Asset Schedule,Any additional info can be added as an additional field in the array
26,,,,Gross Profit,int,No,Yes,Email/Quote Slip/Asset Schedule,
27,,,,Loss of Rent (Gross Rental Income),int,No,Yes,Email/Quote Slip/Asset Schedule,
28,,,,Payroll,int,No,Yes,Email/Quote Slip/Asset Schedule,
29,,,,Claims Preparation Costs,int,No,Yes,Email/Quote Slip/Asset Schedule,
30,,,,Severance Pay,int,No,Yes,Email/Quote Slip/Asset Schedule,
31,,,,Location fees value,int,No,Yes,Email/Quote Slip/Asset Schedule,
32,,,,Additional Increased Cost of Working,int,No,Yes,Email/Quote Slip/Asset Schedule,
33,,,Combined Section 1 & 2 (Total Insured Value (Total Declared Value)),,int,Yes(if applicable),Yes,Email/Quote Slip/Asset Schedule,
34,,Limits of Liability,"Section 1 - Material Damage
",,int,Yes,Yes,Email/Quote Slip,Any additional info can be added as an additional field in the array
35,,,Section 2 - Consequential Loss (Business Interruption),,int,Yes,Yes,Email/Quote Slip,
36,,,Combined Section 1 & Section 2,,int,Yes,Yes,Email/Quote Slip,
37,,,Undeclared Situations,,int,No,Yes,Email/Quote Slip,
38,,Material Loss or Damage - Sub Limits (Section 1),"Accidental Damage

",,str/int,Yes,Yes,Email/Quote Slip,Any additional info can be added as an additional field in the array
39,,,"Burglary and/or Theft of Property

",,str/int,Yes,Yes,Email/Quote Slip,
40,,,"Personal property of employees and others (per person)

",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
41,,,Personal property of employees and others (per event),,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
42,,,"Money

",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
43,,,Glass,,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
44,,,"Removal of Debris

",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
45,,,"Landscaping

",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
46,,,"Extra Cost of Reinstatement

",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
47,,,"Professional Fees

",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
48,,,"Additional Extra Cost of Reinstatement
",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
49,,,"Property in Transit within the Commonwealth of Australia

",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
50,,,"Contract Works

",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
51,,,"Loss of Land Value

",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
52,,,"Legal Liability to Make Enquiries

",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
53,,,"Rewriting of Records

",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
54,,,"Theft of Property in the Open Air

",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
55,,,Statutory Inquiries,,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
56,,,"Accompanied Buggae
",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
57,,,Cost of Clearing Blocked Drains Pipes Filters and Pumps,,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
58,,,Signs,,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
59,,,Unspecified Damage,,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
60,,,"Expediting Expenses
",,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
61,,,Unspecified Customer Goods,,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
62,,,Works of Art Antiques and Curios,,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
63,,,Weather Damage to certain property in Open Air,,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
64,,,Decorative Livestock,,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
65,,,Temporary Removal Exemption,,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
66,,,Metered Water ,,str/int,Yes (if included in submission),Yes,Email/Quote Slip,
